RegionsIDCode,Percentile_Integrat,Percentile_Experiment,Percentile_Flexible,Percentile_Reliable,Percentile_Method,Percentile_Expert,Percentile_Curious,Percentile_Connective,Percentile_Curative,Percentile_Generative
Manager of R_3hsGzQQHZDDNZDO,86.39071667,64.95843351,85.27749474,94.96201519,66.63944422,94.94204676,98.95173903,92.17180626,89.98290342,89.14501375
Manager of R_6RpgimVxAb7s7rr,98.98530294,94.9870027,98.88885602,94.96201519,66.63944422,94.94204676,98.95173903,94.9036535,89.98290342,98.95173903
Manager of R_2ZTvQqQFbZFXH5L,3.523740685,1.276262428,4.041387454,2.599692025,24.98860456,6.248475315,4.332050257,6.248818898,3.444175944,11.10874854
Manager of R_2DYotvgaiEZyMxw,44.97200522,89.94591008,64.95943273,29.98670532,78.30167933,59.9623304,36.65083966,53.30534733,58.30927629,79.95922039
Manager of R_3p6nxdJvMAaXscv,86.39071667,74.95363741,64.95943273,83.29978009,78.30167933,84.94684287,98.95173903,94.9036535,81.6337465,89.14501375
Manager of R_aY2NU7FjqcBz8HL,96.31910285,64.95843351,79.951709,94.96201519,92.76669777,84.94684287,76.63564574,88.28855572,86.65016997,71.62988506
Manager of R_2DOZbwKL6YLUsMZ,98.98530294,94.9870027,98.88885602,94.96201519,94.98866818,94.94204676,98.95173903,94.9036535,89.98290342,98.95173903
Manager of R_UmUbcyVotCpR5oB,44.97200522,64.95843351,44.97200522,53.31117553,36.65083966,34.97780414,76.63564574,39.97841079,51.64514194,41.64427786
Manager of R_1Ej9GAEkgw2nSLO,86.39071667,74.95363741,54.96422884,83.29978009,54.97720912,94.94204676,85.74440559,66.63228386,69.9715114,79.95922039
Manager of R_24AtZPeRLS7cun8,98.98530294,94.9870027,98.88885602,94.96201519,92.76669777,94.94204676,98.95173903,74.96161919,58.30927629,98.95173903
Manager of R_2v31fEgdmfQ5KvE,69.95653507,6.664567087,44.97200522,76.63564574,36.65083966,94.94204676,76.63564574,74.96161919,39.98290684,58.30294853
Manager of R_4T2z30kukvYKDux,44.97200522,24.98161481,19.99250384,36.65083966,12.61436732,19.15507246,36.65083966,53.30534733,14.99240304,19.988006
Manager of R_8qcaoiCs7A0m17H,24.98161481,39.93353338,29.97971637,18.32447021,54.97720912,34.97780414,24.98860456,26.65147426,28.32067173,49.97361319
Manager of R_BypGGfszgegEeIh,98.98530294,89.94591008,98.88885602,94.96201519,78.30167933,94.94204676,98.95173903,94.9036535,89.98290342,79.95922039
Manager of R_3kzFwiyyS5xWypu,96.31910285,74.95363741,98.88885602,83.29978009,36.65083966,59.9623304,76.63564574,94.9036535,89.98290342,71.62988506
Manager of R_22mJHSdFiDsnQv7,14.99490099,39.93353338,19.99250384,29.98670532,84.96581367,24.99060313,18.32447021,26.65147426,28.32067173,28.31734133
Manager of R_A0eHDfERRVfcIiR,4.99968342,6.664567087,9.99730054,36.65083966,66.63944422,19.15507246,18.32447021,26.65147426,9.164117177,11.10874854
Manager of R_2SleSWcL6C0ZHlt,29.99020189,64.95843351,44.97200522,94.96201519,36.65083966,84.94684287,98.95173903,74.96161919,58.30927629,71.62988506
Manager of R_3HUD8D1Y9ERGlJo,29.99020189,89.94591008,79.951709,76.63564574,1.666316702,59.9623304,98.95173903,92.17180626,81.6337465,89.14501375
Manager of R_2wT9SGmyveBSaTt,98.98530294,74.95363741,79.951709,94.96201519,66.63944422,74.95460846,98.95173903,92.17180626,86.65016997,93.05649116
Manager of R_2CwTBBD8WvzbBQv,98.98530294,94.9870027,85.27749474,94.96201519,94.98866818,84.94684287,85.74440559,92.17180626,86.65016997,89.14501375
Manager of R_30pA13idxkA4ZIP,86.39071667,74.95363741,64.95943273,76.63564574,78.30167933,94.94204676,85.74440559,92.17180626,86.65016997,89.14501375
Manager of R_u4SyixHo0mlsTbX,69.95653507,74.95363741,79.951709,83.29978009,78.30167933,84.94684287,76.63564574,74.96161919,86.65016997,79.95922039
